time_s,integral,shift,assignment,experiment,ISTD_mg_mL,ISTD
5135,168.95,3.436528,product,AH-01-15zg2d,22.45,967.934
5195,160.932,3.436528,product,AH-01-15zg2d,22.45,956.527
5255,163.542,3.436528,product,AH-01-15zg2d,22.45,964.428
5315,169.653,3.436528,product,AH-01-15zg2d,22.45,961.076
5375,167.921,3.436528,product,AH-01-15zg2d,22.45,964.05
5435,159.529,3.436528,product,AH-01-15zg2d,22.45,970.574
5495,175.566,3.436528,product,AH-01-15zg2d,22.45,955.807
5555,175.535,3.436528,product,AH-01-15zg2d,22.45,952.9
5615,179.357,3.436528,product,AH-01-15zg2d,22.45,971.557
5675,163.11,3.436528,product,AH-01-15zg2d,22.45,974.916
5735,172.083,3.436528,product,AH-01-15zg2d,22.45,969.569
5795,169.81,3.436528,product,AH-01-15zg2d,22.45,973.419
5855,169.596,3.436528,product,AH-01-15zg2d,22.45,966.184
5915,174.65,3.436528,product,AH-01-15zg2d,22.45,963.864
5975,182.036,3.436528,product,AH-01-15zg2d,22.45,964.469
6035,179.922,3.436528,product,AH-01-15zg2d,22.45,964.927
6095,172.099,3.436528,product,AH-01-15zg2d,22.45,972.74
6155,187.744,3.436528,product,AH-01-15zg2d,22.45,958.644
6215,174.716,3.436528,product,AH-01-15zg2d,22.45,973.456
6275,183.369,3.436528,product,AH-01-15zg2d,22.45,966.025
6335,183.908,3.436528,product,AH-01-15zg2d,22.45,971.468
6395,176.335,3.436528,product,AH-01-15zg2d,22.45,977.436
6455,180.497,3.436528,product,AH-01-15zg2d,22.45,969.696
6515,176.472,3.436528,product,AH-01-15zg2d,22.45,968.772
6575,184.026,3.436528,product,AH-01-15zg2d,22.45,966.148
6635,183.982,3.436528,product,AH-01-15zg2d,22.45,961.051
6695,189.913,3.436528,product,AH-01-15zg2d,22.45,966.617
6755,185.492,3.436528,product,AH-01-15zg2d,22.45,969.268
6815,185.076,3.436528,product,AH-01-15zg2d,22.45,970.827
6875,190.538,3.436528,product,AH-01-15zg2d,22.45,958.329
6935,189.495,3.436528,product,AH-01-15zg2d,22.45,958.036
6995,189.993,3.436528,product,AH-01-15zg2d,22.45,956.815
7055,194.122,3.436528,product,AH-01-15zg2d,22.45,964.655
7115,186.613,3.436528,product,AH-01-15zg2d,22.45,968.964
7175,187.661,3.436528,product,AH-01-15zg2d,22.45,976.394
7235,192.592,3.436528,product,AH-01-15zg2d,22.45,960.642
7295,192.316,3.436528,product,AH-01-15zg2d,22.45,963.664
7355,189.675,3.436528,product,AH-01-15zg2d,22.45,963.498
7415,191.487,3.436528,product,AH-01-15zg2d,22.45,965.864
7475,192.225,3.436528,product,AH-01-15zg2d,22.45,954.964
7535,191.941,3.436528,product,AH-01-15zg2d,22.45,968.328
7595,186.88,3.436528,product,AH-01-15zg2d,22.45,960.118
