time_s,integral,shift,assignment,experiment,ISTD_mg_mL,ISTD
120,16.3256,3.4,product,RK-04-35zg2d,22,783.904
150,16.4431,3.4,product,RK-04-35zg2d,22,769.737
180,15.6195,3.4,product,RK-04-35zg2d,22,762.946
210,14.6393,3.4,product,RK-04-35zg2d,22,764.502
240,13.8574,3.4,product,RK-04-35zg2d,22,763.333
270,17.3945,3.4,product,RK-04-35zg2d,22,761.902
300,15.3457,3.4,product,RK-04-35zg2d,22,766.55
330,22.7543,3.4,product,RK-04-35zg2d,22,757.75
360,26.541,3.4,product,RK-04-35zg2d,22,755.673
390,26.8532,3.4,product,RK-04-35zg2d,22,744.504
420,35.192,3.4,product,RK-04-35zg2d,22,753.142
450,36.5062,3.4,product,RK-04-35zg2d,22,748.9
480,35.4168,3.4,product,RK-04-35zg2d,22,771.225
510,38.9219,3.4,product,RK-04-35zg2d,22,753.972
540,41.7282,3.4,product,RK-04-35zg2d,22,776.607
570,43.8508,3.4,product,RK-04-35zg2d,22,780.796
600,44.4954,3.4,product,RK-04-35zg2d,22,777.656
630,51.2323,3.4,product,RK-04-35zg2d,22,755.413
660,56.5497,3.4,product,RK-04-35zg2d,22,751.689
690,60.5638,3.4,product,RK-04-35zg2d,22,747.002
720,59.8901,3.4,product,RK-04-35zg2d,22,762.439
750,65.1342,3.4,product,RK-04-35zg2d,22,746.048
780,59.2362,3.4,product,RK-04-35zg2d,22,777.606
810,71.5673,3.4,product,RK-04-35zg2d,22,757.928
840,70.0976,3.4,product,RK-04-35zg2d,22,757.779
870,75.3468,3.4,product,RK-04-35zg2d,22,743.564
900,75.7078,3.4,product,RK-04-35zg2d,22,752.908
930,69.9556,3.4,product,RK-04-35zg2d,22,771.504
960,69.2015,3.4,product,RK-04-35zg2d,22,787.249
990,77.899,3.4,product,RK-04-35zg2d,22,758.27
1020,76.2301,3.4,product,RK-04-35zg2d,22,762.055
1050,73.6606,3.4,product,RK-04-35zg2d,22,783.508
1080,81.8784,3.4,product,RK-04-35zg2d,22,751.886
1110,85.2428,3.4,product,RK-04-35zg2d,22,746.311
1140,87.3481,3.4,product,RK-04-35zg2d,22,762.682
1170,90.5493,3.4,product,RK-04-35zg2d,22,742.81
1200,90.7886,3.4,product,RK-04-35zg2d,22,753.248
1230,90.1904,3.4,product,RK-04-35zg2d,22,758.756
1260,94.3147,3.4,product,RK-04-35zg2d,22,746.62
1290,95.3054,3.4,product,RK-04-35zg2d,22,753.388
1320,95.2488,3.4,product,RK-04-35zg2d,22,745.111
1350,94.6906,3.4,product,RK-04-35zg2d,22,761.1
1380,96.8822,3.4,product,RK-04-35zg2d,22,763.534
1410,95.9781,3.4,product,RK-04-35zg2d,22,745.528
1440,97.2081,3.4,product,RK-04-35zg2d,22,752.327
1470,96.7671,3.4,product,RK-04-35zg2d,22,766.155
1500,99.2509,3.4,product,RK-04-35zg2d,22,748.036
1530,97.1312,3.4,product,RK-04-35zg2d,22,781.305
1560,105.891,3.4,product,RK-04-35zg2d,22,737.901
1590,103.262,3.4,product,RK-04-35zg2d,22,747.172
1620,104.106,3.4,product,RK-04-35zg2d,22,759.316
1650,99.3549,3.4,product,RK-04-35zg2d,22,785.493
1680,110.677,3.4,product,RK-04-35zg2d,22,754.397
1710,105.965,3.4,product,RK-04-35zg2d,22,759.708
1740,108.365,3.4,product,RK-04-35zg2d,22,743.006
1770,107.576,3.4,product,RK-04-35zg2d,22,746.453
1800,109.006,3.4,product,RK-04-35zg2d,22,765.719
1830,109.04,3.4,product,RK-04-35zg2d,22,770.606
1860,107.986,3.4,product,RK-04-35zg2d,22,758.335
1890,110.491,3.4,product,RK-04-35zg2d,22,761.143
1920,114.719,3.4,product,RK-04-35zg2d,22,736.511
1950,109.859,3.4,product,RK-04-35zg2d,22,758.114
1980,116.828,3.4,product,RK-04-35zg2d,22,744.108
2010,113.312,3.4,product,RK-04-35zg2d,22,749.228
2040,119.029,3.4,product,RK-04-35zg2d,22,755.84
2070,117.135,3.4,product,RK-04-35zg2d,22,749.615
2100,113.526,3.4,product,RK-04-35zg2d,22,763.319
2130,116.881,3.4,product,RK-04-35zg2d,22,745.974
2160,115.691,3.4,product,RK-04-35zg2d,22,746.698
2190,119.656,3.4,product,RK-04-35zg2d,22,751.328
2220,118.633,3.4,product,RK-04-35zg2d,22,740.563
2250,119.611,3.4,product,RK-04-35zg2d,22,751.806
2280,119.542,3.4,product,RK-04-35zg2d,22,750.085
2310,129.212,3.4,product,RK-04-35zg2d,22,738.861
2340,116.473,3.4,product,RK-04-35zg2d,22,759.974
2370,120.272,3.4,product,RK-04-35zg2d,22,759.164
2400,123.035,3.4,product,RK-04-35zg2d,22,742.51
2430,120.707,3.4,product,RK-04-35zg2d,22,777.949
2460,120.435,3.4,product,RK-04-35zg2d,22,755.529
2490,124.761,3.4,product,RK-04-35zg2d,22,738.581
2520,125.083,3.4,product,RK-04-35zg2d,22,755.179
2550,118.545,3.4,product,RK-04-35zg2d,22,779.509
2580,123.51,3.4,product,RK-04-35zg2d,22,743.416
2610,129.194,3.4,product,RK-04-35zg2d,22,725.526
2640,126.682,3.4,product,RK-04-35zg2d,22,735.569
2670,124.521,3.4,product,RK-04-35zg2d,22,741.38
2700,124.95,3.4,product,RK-04-35zg2d,22,756.591
2730,125.815,3.4,product,RK-04-35zg2d,22,742.889
2760,130.463,3.4,product,RK-04-35zg2d,22,740.078
2790,125.851,3.4,product,RK-04-35zg2d,22,753.743
2820,135.321,3.4,product,RK-04-35zg2d,22,743.271
2850,133.645,3.4,product,RK-04-35zg2d,22,736.281
2880,128.473,3.4,product,RK-04-35zg2d,22,742.599
2910,131.452,3.4,product,RK-04-35zg2d,22,737.642
2940,133.735,3.4,product,RK-04-35zg2d,22,737.581
2970,131.575,3.4,product,RK-04-35zg2d,22,737.983
3000,137.212,3.4,product,RK-04-35zg2d,22,723.125
3030,138.035,3.4,product,RK-04-35zg2d,22,725.308
3060,134.952,3.4,product,RK-04-35zg2d,22,734.086
3090,137.836,3.4,product,RK-04-35zg2d,22,727.262
3120,130.467,3.4,product,RK-04-35zg2d,22,757.385
3150,138.418,3.4,product,RK-04-35zg2d,22,728.86
3180,127.396,3.4,product,RK-04-35zg2d,22,752.618
3210,133.012,3.4,product,RK-04-35zg2d,22,741.997
3240,136.287,3.4,product,RK-04-35zg2d,22,739.662
3270,133.576,3.4,product,RK-04-35zg2d,22,739.517
3300,138.557,3.4,product,RK-04-35zg2d,22,728.943
3330,132.073,3.4,product,RK-04-35zg2d,22,739.607
3360,139.419,3.4,product,RK-04-35zg2d,22,729.38
3390,131.338,3.4,product,RK-04-35zg2d,22,746.358
3420,130.342,3.4,product,RK-04-35zg2d,22,753.673
3450,134.537,3.4,product,RK-04-35zg2d,22,754.688
3480,132.634,3.4,product,RK-04-35zg2d,22,752.216
3510,142.504,3.4,product,RK-04-35zg2d,22,722.708
3540,129.662,3.4,product,RK-04-35zg2d,22,758.31
3570,137.375,3.4,product,RK-04-35zg2d,22,742.742
3600,135.964,3.4,product,RK-04-35zg2d,22,739.038
3630,137.062,3.4,product,RK-04-35zg2d,22,736.795
3660,133.214,3.4,product,RK-04-35zg2d,22,742.55
3690,135.709,3.4,product,RK-04-35zg2d,22,756.04
120,278.448,3.82,SM_B,RK-04-35zg2d,22,783.904
150,269.85,3.82,SM_B,RK-04-35zg2d,22,769.737
180,260.41,3.82,SM_B,RK-04-35zg2d,22,762.946
210,255.849,3.82,SM_B,RK-04-35zg2d,22,764.502
240,248.793,3.82,SM_B,RK-04-35zg2d,22,763.333
270,244.338,3.82,SM_B,RK-04-35zg2d,22,761.902
300,237.644,3.82,SM_B,RK-04-35zg2d,22,766.55
330,234.671,3.82,SM_B,RK-04-35zg2d,22,757.75
360,228.58,3.82,SM_B,RK-04-35zg2d,22,755.673
390,223.479,3.82,SM_B,RK-04-35zg2d,22,744.504
420,218.97,3.82,SM_B,RK-04-35zg2d,22,753.142
450,211.268,3.82,SM_B,RK-04-35zg2d,22,748.9
480,207.161,3.82,SM_B,RK-04-35zg2d,22,771.225
510,204.763,3.82,SM_B,RK-04-35zg2d,22,753.972
540,201.563,3.82,SM_B,RK-04-35zg2d,22,776.607
570,196.489,3.82,SM_B,RK-04-35zg2d,22,780.796
600,193.206,3.82,SM_B,RK-04-35zg2d,22,777.656
630,187.455,3.82,SM_B,RK-04-35zg2d,22,755.413
660,183.466,3.82,SM_B,RK-04-35zg2d,22,751.689
690,177.871,3.82,SM_B,RK-04-35zg2d,22,747.002
720,174.759,3.82,SM_B,RK-04-35zg2d,22,762.439
750,172.031,3.82,SM_B,RK-04-35zg2d,22,746.048
780,169.841,3.82,SM_B,RK-04-35zg2d,22,777.606
810,163.134,3.82,SM_B,RK-04-35zg2d,22,757.928
840,162.748,3.82,SM_B,RK-04-35zg2d,22,757.779
870,157.476,3.82,SM_B,RK-04-35zg2d,22,743.564
900,156.057,3.82,SM_B,RK-04-35zg2d,22,752.908
930,152.111,3.82,SM_B,RK-04-35zg2d,22,771.504
960,149.564,3.82,SM_B,RK-04-35zg2d,22,787.249
990,147.318,3.82,SM_B,RK-04-35zg2d,22,758.27
1020,144.828,3.82,SM_B,RK-04-35zg2d,22,762.055
1050,140.044,3.82,SM_B,RK-04-35zg2d,22,783.508
1080,137.207,3.82,SM_B,RK-04-35zg2d,22,751.886
